rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
45	TSSK1B	testis-specific serine kinase 1B	1104	14	0	0	2	1	0	0	3	3	3	4.732278e-04	1	9.790000e-01	4.096228e-03	1
46	FAM20B	family with sequence similarity 20, member B	1256	33	0	0	2	0	0	0	2	2	2	5.048360e-04	1	3.390000e-01	4.337186e-03	1
47	PHLDB2	pleckstrin homology-like domain, family B, member 2	3961	6	0	0	2	0	0	0	2	2	2	5.106035e-02	1	1.000000e-02	4.380936e-03	1
48	FAM198B	family with sequence similarity 198, member B	1677	5	0	0	0	0	1	1	2	2	2	5.124021e-04	1	5.920000e-01	4.394566e-03	1
49	BCL9	B-cell CLL/lymphoma 9	4305	18	0	1	2	0	0	1	3	3	3	7.459657e-03	1	5.700000e-02	4.412094e-03	1
50	SLC35E4	solute carrier family 35, member E4	1057	142	0	0	1	0	0	1	2	2	2	4.052604e-02	1	1.000000e-02	4.473133e-03	1
51	BMP2K	BMP2 inducible kinase	3582	2	0	1	3	0	0	0	3	3	1	5.313486e-01	1.000000e-03	9.852100e-01	4.537766e-03	1
52	EID2	EP300 interacting inhibitor of differentiation 2	712	12	0	0	0	1	0	0	1	1	1	4.612546e-03	NaN	NaN	4.612546e-03	1
53	PER2	period homolog 2 (Drosophila)	3856	0	0	0	0	1	0	0	1	1	1	4.683841e-03	NaN	NaN	4.683841e-03	1
54	RDBP	RD RNA binding protein	2289	45	0	0	4	1	0	1	6	4	6	5.704043e-04	1	8.670000e-01	4.830848e-03	1
55	SERTAD4	SERTA domain containing 4	1083	10	0	0	0	1	0	0	1	1	1	5.037783e-03	NaN	NaN	5.037783e-03	1
56	PRKAR1B	protein kinase, cAMP-dependent, regulatory, type I, beta	1238	11	1	0	3	0	0	0	3	3	3	2.261173e-02	1	2.000000e-02	5.792102e-03	1
57	PRDM11	PR domain containing 11	1564	6	0	0	2	0	0	1	3	3	3	1.764863e-03	1	3.880000e-01	5.905020e-03	1
58	C12orf41	chromosome 12 open reading frame 41	1515	65	0	0	2	1	0	0	3	3	3	7.337021e-04	1	7.910000e-01	6.029129e-03	1
59	KDM5C	lysine (K)-specific demethylase 5C	4879	30	0	0	2	0	0	0	2	2	1	7.406150e-02	1.000000e-02	9.599000e-01	6.078990e-03	1
60	LYSMD4	LysM, putative peptidoglycan-binding, domain containing 4	910	33	0	0	2	0	0	0	2	2	1	7.823960e-02	1.000000e-02	8.250000e-01	6.378992e-03	1
61	ILVBL	ilvB (bacterial acetolactate synthase)-like	1959	4	0	0	0	1	0	0	1	1	1	6.519678e-03	NaN	NaN	6.519678e-03	1
62	BCL2L1	BCL2-like 1	707	8	0	0	2	0	0	0	2	2	1	8.412599e-02	1.000000e-02	2.950000e-02	6.797893e-03	1
63	TMC4	transmembrane channel-like 4	2260	60	0	0	3	0	0	0	3	3	3	3.685307e-03	1	2.180000e-01	6.816832e-03	1
64	AKT1	v-akt murine thymoma viral oncogene homolog 1	1495	20	0	0	2	0	0	0	2	2	1	5.812136e-02	1.330000e-02	3.910000e-02	7.054658e-03	1
65	CAPRIN1	cell cycle associated protein 1	2218	169	0	1	0	2	0	0	2	2	1	5.658189e-02	1.450000e-02	4.976000e-01	7.169663e-03	1
66	C4BPB	complement component 4 binding protein, beta	786	38	0	0	0	1	0	0	1	1	1	7.228688e-03	NaN	NaN	7.228688e-03	1
67	GIMAP4	GTPase, IMAP family member 4	998	33	0	0	2	0	0	0	2	2	2	1.757112e-02	1	1.640000e-02	7.246243e-03	1
68	SHPK	sedoheptulokinase	1462	36	0	1	2	0	0	0	2	2	1	9.061371e-02	1.000000e-02	9.873000e-01	7.254823e-03	1
69	SCRN1	secernin 1	1337	8	0	1	2	0	0	0	2	2	1	9.179323e-02	1.000000e-02	5.100000e-02	7.337388e-03	1
70	THOC2	THO complex 2	4936	9	0	0	3	0	0	2	5	5	5	1.289139e-02	1	3.700000e-02	7.408998e-03	1
71	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	8906	2	0	0	4	0	0	0	4	4	3	3.177498e-01	3.000000e-03	9.902000e-01	7.583703e-03	1
72	MIA3	melanoma inhibitory activity family, member 3	5834	2	0	0	0	0	0	2	2	2	2	4.963044e-03	1	1.280000e-01	7.753598e-03	1
73	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	1417	54	0	0	1	0	0	1	2	2	2	6.336753e-03	1	1.340000e-01	8.047208e-03	1
74	POGK	pogo transposable element with KRAB domain	1850	15	0	0	3	0	0	0	3	3	3	6.961588e-03	1	1.140000e-01	8.068804e-03	1
75	C8orf31	chromosome 8 open reading frame 31	419	16	0	0	1	1	0	0	2	2	2	6.585609e-03	1	1.450000e-01	8.232099e-03	1
76	PAXIP1	PAX interacting (with transcription-activation domain) protein 1	3292	27	0	0	1	2	0	0	3	3	2	2.476781e-02	4.300000e-02	9.840000e-01	8.524043e-03	1
77	TAF1D	TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa	857	1	0	0	0	0	0	1	1	1	1	8.715929e-03	NaN	NaN	8.715929e-03	1
78	HIST2H2BE	histone cluster 2, H2be	1170	0	0	0	0	0	0	1	1	1	1	8.751000e-03	NaN	NaN	8.751000e-03	1
79	CARNS1	carnosine synthase 1	2889	24	0	0	1	0	1	0	2	2	2	8.870042e-03	NaN	NaN	8.870042e-03	1
80	NCOR1	nuclear receptor co-repressor 1	7666	2	0	1	2	0	0	5	7	7	7	1.145250e-03	1	7.950000e-01	8.901036e-03	1
81	ARID1A	AT rich interactive domain 1A (SWI-like)	6934	5	0	0	2	2	0	1	5	5	5	1.151707e-03	1	7.010000e-01	8.944744e-03	1
82	MIXL1	Mix1 homeobox-like 1 (Xenopus laevis)	702	39	0	0	1	0	0	1	2	2	2	1.442118e-02	1	5.500000e-02	8.958193e-03	1
83	KCTD21	potassium channel tetramerisation domain containing 21	787	93	0	0	3	0	0	0	3	3	3	2.627574e-03	1	3.720000e-01	9.081192e-03	1
84	EDN2	endothelin 2	555	54	0	0	2	0	0	0	2	2	2	3.720365e-03	1	2.370000e-01	9.181649e-03	1
85	NKRF	NFKB repressing factor	2130	62	0	0	4	0	0	0	4	4	4	1.208682e-03	1	4.710000e-01	9.328878e-03	1
86	PROSC	proline synthetase co-transcribed homolog (bacterial)	858	9	0	0	0	1	0	0	1	1	1	9.343757e-03	NaN	NaN	9.343757e-03	1
87	PLA2G3	phospholipase A2, group III	1554	25	0	0	2	0	0	0	2	2	2	4.227255e-02	1	2.400000e-02	9.444459e-03	1
88	ESR1	estrogen receptor 1	1820	5	0	1	4	0	0	0	4	4	3	5.528759e-02	2.100000e-02	3.260000e-01	9.750063e-03	1
89	MAPKSP1		399	11	0	0	0	0	0	1	1	1	1	1.002664e-02	NaN	NaN	1.002664e-02	1
90	SLC11A1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	1709	32	0	0	0	2	0	0	2	2	2	1.512157e-03	1	6.530000e-01	1.015266e-02	1
91	GJB6	gap junction protein, beta 6, 30kDa	790	21	1	0	1	1	0	0	2	2	2	1.512548e-02	1	8.400000e-02	1.034490e-02	1
92	NHLRC1	NHL repeat containing 1	1190	16	0	0	0	1	0	1	2	2	2	1.377035e-03	1	9.840000e-01	1.044870e-02	1
93	GRK1	G protein-coupled receptor kinase 1	995	66	0	0	3	0	0	0	3	3	3	1.047331e-02	NaN	NaN	1.047331e-02	1
94	NPFF	neuropeptide FF-amide peptide precursor	352	26	0	0	2	0	0	0	2	2	2	2.878770e-03	1	4.570000e-01	1.053698e-02	1
95	USP17L2	ubiquitin specific peptidase 17-like 2	1593	26	0	0	1	1	0	0	2	2	2	6.339154e-03	1	2.220000e-01	1.073089e-02	1
96	IL1F6	interleukin 1 family, member 6 (epsilon)	487	36	0	0	2	0	0	0	2	2	2	5.209439e-03	1	1.640000e-01	1.074535e-02	1
97	CGN	cingulin	3692	27	0	0	3	1	0	0	4	3	4	3.391644e-02	1	2.700000e-02	1.076052e-02	1
98	UGT3A2	UDP glycosyltransferase 3 family, polypeptide A2	1597	71	0	0	2	0	0	0	2	2	2	1.697850e-02	1	8.300000e-02	1.088284e-02	1
99	TAS2R20	taste receptor, type 2, member 20	930	20	0	0	0	1	0	0	1	1	1	1.102267e-02	NaN	NaN	1.102267e-02	1
100	ZFP41	zinc finger protein 41 homolog (mouse)	598	23	0	0	3	0	0	0	3	3	3	1.515078e-03	1	9.220000e-01	1.135140e-02	1
101	PRKX	protein kinase, X-linked	1109	11	0	0	0	1	0	0	1	1	1	1.136042e-02	NaN	NaN	1.136042e-02	1
102	RASIP1	Ras interacting protein 1	2958	19	0	1	2	0	0	0	2	2	2	1.532794e-01	1.000000e-02	8.008000e-01	1.146631e-02	1
103	FBXL7	F-box and leucine-rich repeat protein 7	1488	15	0	0	2	1	0	0	3	3	3	5.369282e-03	1	1.330000e-01	1.148459e-02	1
104	PLEKHG3	pleckstrin homology domain containing, family G (with RhoGef domain) member 3	3548	5	0	0	4	0	0	0	4	3	3	2.166097e-01	6.600000e-03	7.239000e-01	1.149958e-02	1
105	CTSW	cathepsin W	1169	64	0	0	3	0	0	0	3	3	3	4.523826e-03	1	2.990000e-01	1.158854e-02	1
106	HINT2	histidine triad nucleotide binding protein 2	512	29	0	0	1	0	0	1	2	2	2	8.910393e-03	1	8.200000e-02	1.203990e-02	1
107	SIRPB2	signal-regulatory protein beta 2	1045	53	0	0	2	0	0	0	2	2	2	1.720861e-02	1	4.500000e-02	1.212417e-02	1
108	GNS	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	1711	7	0	0	0	1	1	0	2	2	2	1.679240e-03	1	9.000000e-01	1.240860e-02	1
109	HIST1H4B	histone cluster 1, H4b	314	10	0	0	0	0	0	1	1	1	1	1.267166e-02	NaN	NaN	1.267166e-02	1
110	XKRX	XK, Kell blood group complex subunit-related, X-linked	1358	12	0	0	0	1	0	0	1	1	1	1.284317e-02	NaN	NaN	1.284317e-02	1
111	CANX	calnexin	1835	0	0	0	0	0	0	1	1	1	1	1.332367e-02	NaN	NaN	1.332367e-02	1
112	RASA1	RAS p21 protein activator (GTPase activating protein) 1	3250	14	0	0	0	1	0	0	1	1	1	1.364550e-02	NaN	NaN	1.364550e-02	1
113	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	2946	1	0	0	3	2	0	0	5	4	5	1.887094e-03	1	6.110000e-01	1.372430e-02	1
114	SLC1A6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	1731	5	0	0	0	0	1	0	1	1	1	1.393253e-02	NaN	NaN	1.393253e-02	1
115	TCEB3	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	2439	51	0	1	3	1	0	0	4	3	4	8.141336e-03	1	1.110000e-01	1.398981e-02	1
116	PTPN4	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)	2885	13	0	0	1	0	1	0	2	2	2	1.414690e-02	NaN	NaN	1.414690e-02	1
117	EIF1	eukaryotic translation initiation factor 1	354	53	0	0	2	0	0	0	2	2	2	1.958704e-03	1	4.200000e-01	1.417215e-02	1
118	TMC7	transmembrane channel-like 7	2232	3	0	0	4	0	0	1	5	5	5	1.962903e-03	1	9.240000e-01	1.419832e-02	1
119	ZFP36L1	zinc finger protein 36, C3H type-like 1	1208	97	0	0	2	1	0	0	3	3	3	2.002187e-03	1	7.030000e-01	1.444280e-02	1
120	ZFP64	zinc finger protein 64 homolog (mouse)	3255	55	0	1	3	0	0	0	3	3	3	2.623869e-02	1	5.000000e-02	1.471839e-02	1
121	ADCK1	aarF domain containing kinase 1	1612	3	0	0	0	0	0	1	1	1	1	1.485171e-02	NaN	NaN	1.485171e-02	1
122	GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1	3115	13	1	0	3	1	0	0	4	4	4	5.842211e-03	1	2.830000e-01	1.488765e-02	1
123	ANXA5	annexin A5	1011	18	0	0	3	0	0	0	3	3	3	3.346258e-03	1	5.130000e-01	1.491262e-02	1
124	BACE2	beta-site APP-cleaving enzyme 2	1635	168	0	0	3	0	0	0	3	3	3	6.180255e-03	1	2.300000e-01	1.509424e-02	1
125	PARS2	prolyl-tRNA synthetase 2, mitochondrial (putative)	1432	12	0	0	3	0	0	0	3	3	3	9.698585e-03	1	1.120000e-01	1.525567e-02	1
126	FAM26D	family with sequence similarity 26, member D	389	41	0	0	0	0	0	1	1	1	1	1.558689e-02	NaN	NaN	1.558689e-02	1
127	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2	627	5	0	0	0	1	0	0	1	1	1	1.591216e-02	NaN	NaN	1.591216e-02	1
128	GDF5	growth differentiation factor 5	1510	65	0	0	3	0	0	0	3	3	3	2.244549e-03	1	8.530000e-01	1.593462e-02	1
129	DMXL1	Dmx-like 1	9252	1	0	0	0	1	0	2	3	3	3	2.368157e-03	1	8.480000e-01	1.668519e-02	1
130	IGHMBP2	immunoglobulin mu binding protein 2	3042	30	0	0	5	0	0	0	5	5	5	2.383794e-03	1	9.390000e-01	1.677967e-02	1
131	HEBP1	heme binding protein 1	582	42	0	0	2	0	0	0	2	2	2	1.069005e-02	1	1.160000e-01	1.684473e-02	1
132	DRD3	dopamine receptor D3	1229	27	0	0	3	0	0	0	3	3	3	2.405868e-03	1	8.610000e-01	1.691288e-02	1
133	RNF180	ring finger protein 180	1829	26	0	0	2	0	0	0	2	2	2	2.406189e-01	1	1.000000e-02	1.691481e-02	1
134	MRC2	mannose receptor, C type 2	4556	5	0	0	0	1	0	0	1	1	1	1.708880e-02	NaN	NaN	1.708880e-02	1
135	THEM4	thioesterase superfamily member 4	743	8	0	0	0	1	0	0	1	1	1	1.712206e-02	NaN	NaN	1.712206e-02	1
136	ZNF16	zinc finger protein 16	2057	95	0	0	2	0	0	1	3	3	3	1.045407e-02	1	1.980000e-01	1.728169e-02	1
137	UMPS	uridine monophosphate synthetase	1465	76	0	0	3	0	0	0	3	3	3	2.478752e-03	1	9.790000e-01	1.735126e-02	1
138	CRHBP	corticotropin releasing hormone binding protein	993	17	0	1	3	0	0	0	3	3	3	6.366325e-03	1	3.520000e-01	1.741413e-02	1
139	FANCA	Fanconi anemia, complementation group A	4558	12	0	1	5	1	0	2	8	6	8	2.564972e-03	1	9.130000e-01	1.786710e-02	1
140	C20orf186	chromosome 20 open reading frame 186	1907	7	0	0	3	0	0	1	4	4	4	2.632942e-03	1	9.390000e-01	1.827170e-02	1
141	C15orf23	chromosome 15 open reading frame 23	1024	2	0	0	0	0	0	1	1	1	1	1.851973e-02	NaN	NaN	1.851973e-02	1
142	FGD1	FYVE, RhoGEF and PH domain containing 1 (faciogenital dysplasia)	2954	0	0	0	0	0	0	1	1	1	1	1.881596e-02	NaN	NaN	1.881596e-02	1
143	ACBD5	acyl-Coenzyme A binding domain containing 5	1626	87	0	0	3	0	0	0	3	3	3	2.725678e-03	1	8.910000e-01	1.882091e-02	1
144	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	606	19	1	0	0	1	0	0	1	1	1	1.934980e-02	NaN	NaN	1.934980e-02	1
145	HIST1H2BB	histone cluster 1, H2bb	796	68	0	0	2	0	0	0	2	2	2	1.505599e-02	1	1.580000e-01	1.943805e-02	1
146	KRTAP5-1	keratin associated protein 5-1	841	16	0	0	1	0	0	0	1	1	1	1.975851e-02	NaN	NaN	1.975851e-02	1
147	NOP16	NOP16 nucleolar protein homolog (yeast)	879	203	0	0	2	0	0	0	2	2	2	1.977818e-02	NaN	NaN	1.977818e-02	1
148	TNN	tenascin N	3973	1	0	0	0	1	0	0	1	1	1	1.980198e-02	NaN	NaN	1.980198e-02	1
149	ADRA2C	adrenergic, alpha-2C-, receptor	1391	19	0	0	0	1	0	0	1	1	1	1.994946e-02	NaN	NaN	1.994946e-02	1
150	KIAA0319L	KIAA0319-like	3527	13	0	0	0	1	0	0	1	1	1	2.009832e-02	NaN	NaN	2.009832e-02	1
151	ZBTB2	zinc finger and BTB domain containing 2	1553	5	0	1	2	1	0	0	3	3	3	9.500187e-03	1	1.870000e-01	2.010776e-02	1
152	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	1267	1	0	0	0	0	0	1	1	1	1	2.018036e-02	NaN	NaN	2.018036e-02	1
153	TRPC4	transient receptor potential cation channel, subfamily C, member 4	2989	17	0	0	5	0	0	0	5	5	5	2.990153e-02	1	3.900000e-02	2.019626e-02	1
154	STRA6	stimulated by retinoic acid gene 6 homolog (mouse)	2124	43	0	0	2	0	0	0	2	2	2	5.552863e-02	1	5.000000e-02	2.041898e-02	1
155	PMPCA	peptidase (mitochondrial processing) alpha	1880	15	0	0	0	1	0	0	1	1	1	2.050968e-02	NaN	NaN	2.050968e-02	1
156	PI3	peptidase inhibitor 3, skin-derived (SKALP)	363	22	0	0	1	0	0	0	1	1	1	2.066493e-02	NaN	NaN	2.066493e-02	1
157	GABRQ	gamma-aminobutyric acid (GABA) receptor, theta	1935	4	0	0	2	0	0	1	3	3	3	1.375321e-02	1	2.110000e-01	2.097475e-02	1
158	IL1RL1	interleukin 1 receptor-like 1	1726	8	0	0	0	1	0	0	1	1	1	2.106156e-02	NaN	NaN	2.106156e-02	1
159	RB1	retinoblastoma 1 (including osteosarcoma)	3716	6	0	0	0	2	0	0	2	2	2	3.160441e-03	1	9.460000e-01	2.135524e-02	1
160	SDHAF2	succinate dehydrogenase complex assembly factor 2	628	20	0	0	1	0	0	0	1	1	1	2.144351e-02	NaN	NaN	2.144351e-02	1
161	RNF135	ring finger protein 135	1384	74	0	0	1	1	0	0	2	2	2	3.189984e-03	1	9.770000e-01	2.152518e-02	1
162	FAM119A	family with sequence similarity 119, member A	669	91	0	0	0	1	0	0	1	1	1	2.153826e-02	NaN	NaN	2.153826e-02	1
163	TAS2R46	taste receptor, type 2, member 46	930	18	0	0	0	1	0	0	1	1	1	2.172898e-02	NaN	NaN	2.172898e-02	1
164	LILRB5	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	1824	17	0	0	2	1	0	0	3	3	3	3.227079e-03	1	8.340000e-01	2.173818e-02	1
165	APLNR	apelin receptor	1143	11	0	0	2	0	0	0	2	2	2	1.114186e-02	1	2.680000e-01	2.188919e-02	1
166	PDLIM2	PDZ and LIM domain 2 (mystique)	1217	43	0	0	2	0	0	0	2	2	2	2.190753e-02	NaN	NaN	2.190753e-02	1
167	STRA13	stimulated by retinoic acid 13 homolog (mouse)	524	37	0	0	0	0	1	0	1	1	1	2.199910e-02	NaN	NaN	2.199910e-02	1
168	ZNF501	zinc finger protein 501	816	28	0	0	1	0	0	0	1	1	1	2.204559e-02	NaN	NaN	2.204559e-02	1
169	KRIT1	KRIT1, ankyrin repeat containing	2279	5	0	0	0	1	0	0	1	1	1	2.205207e-02	NaN	NaN	2.205207e-02	1
170	S100A7A	S100 calcium binding protein A7A	314	84	0	0	2	0	0	0	2	2	2	3.303792e-03	1	3.070000e-01	2.217731e-02	1
171	DUSP27	dual specificity phosphatase 27 (putative)	3493	7	0	0	4	1	0	0	5	5	5	5.074931e-02	1	4.300000e-02	2.243785e-02	1
172	CENPI	centromere protein I	2353	12	0	0	0	0	0	1	1	1	1	2.261862e-02	NaN	NaN	2.261862e-02	1
173	FBXL13	F-box and leucine-rich repeat protein 13	3732	2	0	0	1	0	1	0	2	2	2	1.758199e-02	1	1.400000e-01	2.268758e-02	1
174	KLKB1	kallikrein B, plasma (Fletcher factor) 1	1972	7	0	0	0	0	1	0	1	1	1	2.271297e-02	NaN	NaN	2.271297e-02	1
175	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	1393	2	0	0	0	1	0	0	1	1	1	2.277207e-02	NaN	NaN	2.277207e-02	1
176	ZNF721	zinc finger protein 721	3106	26	0	0	0	0	1	0	1	1	1	2.289259e-02	NaN	NaN	2.289259e-02	1
177	PDCD5	programmed cell death 5	400	26	0	0	1	0	0	0	1	1	1	2.303369e-02	NaN	NaN	2.303369e-02	1
178	APPL2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	2075	0	0	0	2	0	0	1	3	3	3	3.766576e-02	1	8.800000e-02	2.309579e-02	1
